[0, 0, 0, 23, 24, 25, 1, 1, 1]
[0, 0, 1, 23, 24, 25, 1, 1, 1]
[0, 0, 2, 23, 24, 25, 1, 1, 1]
[0, 0, 3, 23, 24, 25, 1, 1, 1]
[0, 0, 4, 23, 24, 25, 1, 1, 1]
[0, 0, 5, 23, 24, 25, 1, 1, 1]
[0, 0, 6, 23, 24, 25, 1, 1, 1]
[0, 0, 7, 23, 24, 25, 1, 1, 1]
[0, 2, 0, 23, 24, 25, 1, 1, 1]
[0, 2, 1, 23, 24, 25, 1, 1, 1]
[0, 2, 2, 23, 24, 25, 1, 1, 1]
[0, 2, 3, 23, 24, 25, 1, 1, 1]
[0, 2, 4, 23, 24, 25, 1, 1, 1]
[0, 2, 5, 23, 24, 25, 1, 1, 1]
[0, 2, 6, 23, 24, 25, 1, 1, 1]
[0, 2, 7, 23, 24, 25, 1, 1, 1]
[0, 4, 0, 23, 24, 25, 1, 1, 1]
[0, 4, 1, 23, 24, 25, 1, 1, 1]
[0, 4, 2, 23, 24, 25, 1, 1, 1]
[0, 4, 3, 23, 24, 25, 1, 1, 1]
[0, 4, 4, 23, 24, 25, 1, 1, 1]
[0, 4, 5, 23, 24, 25, 1, 1, 1]
[0, 4, 6, 23, 24, 25, 1, 1, 1]
[0, 4, 7, 23, 24, 25, 1, 1, 1]
[0, 6, 0, 23, 24, 25, 1, 1, 1]
[0, 6, 1, 23, 24, 25, 1, 1, 1]
[0, 6, 2, 23, 24, 25, 1, 1, 1]
[0, 6, 3, 23, 24, 25, 1, 1, 1]
[0, 6, 4, 23, 24, 25, 1, 1, 1]
[0, 6, 5, 23, 24, 25, 1, 1, 1]
[0, 6, 6, 23, 24, 25, 1, 1, 1]
[0, 6, 7, 23, 24, 25, 1, 1, 1]
